name,city,state,zipcode,address1,address2,category1_id,category2_id,category3_id,category1,category2,category3,phone,website,latitude,longitude
Mafi Hair Braiding,Brooklyn,NY,11233,1891 Fulton St # C,Not Available,0,0,0,Consumer Services,Beauty Shops,Beauty Salons,0,Not Available,40.678988,-73.921458
Trattoria Mangia Inc,Brooklyn,NY,11217,119 5th Avenue,Not Available,0,0,0,Restaurants & Bars,Restaurants,French Restaurants,7186365259,elpollitomexicano.com,40.67899,-73.97864
All State Private Car & Limo,Brooklyn,NY,11231,335 Bond Street,Not Available,0,0,0,Passenger Car Leasing,"Local Passenger Transportation, NEC",Limousine Services,2123333333,allstatelimo.com,40.67899,-73.9902
"Strategic Logistics, Inc",Brooklyn,NY,11231,335 Bond Street,Not Available,0,0,0,Other Consumer Products & Services,Computer and Computer Software Stores,Computer Software,7186433900,Not Available,40.67899,-73.9902
Momina Inc.,Brooklyn,NY,11231,281 Van Brunt Street,Not Available,0,0,0,Other Business Services,"Business Services, NEC",Business Services (Unclassified),9292244480,mominainc.com,40.67899,-74.010559
Sonny's Premium Sports Collectibles,Brooklyn,NY,11222,"1, 1st street",Not Available,0,0,0,Shopping & Stores,"Gift, Novelty, and Souvenir Shops",Collectibles,9178556691,Not Available,40.6789928,-73.9929049
Bargain Plus,Brooklyn,NY,11233,67 Somers St,Not Available,0,0,0,Shopping & Stores,"Miscellaneous Retail Stores, NEC",Miscellaneous Retail Stores (Unclassified),6465494902,Not Available,40.678995,-73.910337
Washington Bagel Cafe,Brooklyn,NY,11238,621 Washington Avenue,Not Available,0,0,0,Restaurants & Bars,Restaurants,Cafes,7182303734,Not Available,40.678996,-73.963921
P D Fish Bbq Pit,Brooklyn,NY,11233,117 Rockaway Avenue,Not Available,0,0,0,Restaurants & Bars,Restaurants,Barbecue,3474258162,Not Available,40.678998,-73.91079
Brooklyn All-Star Locksmith,Brooklyn,NY,11217,284 flatbush ave<br/>brooklyn,Not Available,0,0,0,Consumer Services,"Repair Shops and Related Services, NEC",Locks and Locksmiths,7186220100,allstarlocksmith.org,40.679,-73.97372
Douglas & 4th Service Station,Brooklyn,NY,11217,164 4th Avenue,Not Available,0,0,0,Automotive Services,Gasoline Service Stations,Gas Stations,7182224501,bp.com,40.679,-73.98212
